,EvacuateNow,WaitAndObserve,SendDrone,PreDeployTeams
LowRisk_HighRes,185.63639035634048,25.59445643620626,54.69985359286909,59.060875269045425
LowRisk_MidRes,154.5197011672298,207.4210526315745,164.5300216705052,161.197342586176
LowRisk_LowRes,137.16155000043548,141.40585631982083,122.17781697634464,196.67894736658724
MedRisk_HighRes,207.36733773891203,76.54079531708288,36.446389999999724,116.67390019591286
MedRisk_MidRes,207.41912183391935,231.57894736841874,185.6593275516569,186.99559984438326
MedRisk_LowRes,207.41063942182876,231.57894736841868,175.95920500381555,196.6723412602525
HighRisk_HighRes,258.40485309036075,76.6071023766892,83.03727405592065,119.74672122487125
HighRisk_MidRes,258.4210526315766,192.49668977844658,233.4097901296891,242.5423661565054
HighRisk_LowRes,258.4210526315766,192.36074719619023,233.3715422341515,242.5435363281658
